"Flowering_Week","Nature_Ancestor_F","probability","number"
"1-2-3","0",0.411296500144507,11
"4","0",0.279552071987802,38
"5-6","0",0.38764488833333,130
"7-8-9","0",0.214747954680107,75
"10","0",0.150314186503445,9
"11-12","0",2.29261301968626e-07,4
"1-2-3","1",0.317938748924877,16
"4","1",0.205651877828842,27
"5-6","1",0.296947733161013,318
"7-8-9","1",0.154309630792915,167
"10","1",0.105571984381885,11
"11-12","1",1.52965142266313e-07,9
"1-2-3","2",0.33759373197017,13
"4","2",0.220610514077109,40
"5-6","2",0.31590608253988,162
"7-8-9","2",0.166315661624565,121
"10","2",0.114298499482181,13
"11-12","2",1.67240834665604e-07,2
