"Flowering_Week","Nb_Inflorescences","probability","number"
"1-2-3-4","1",5.20740472389976,38
"5","1",6.03196645478062,134
"6","1",6.59467475274611,53
"7","1",7.15151515151516,33
"8-9","1",7.01379798503225,23
"1-2-3-4","2",5.11862049186592,1
"5","2",5.92912376485415,4
"6","2",6.48223810445789,1
"7","2",7.02958459027194,0
"8-9","2",6.89421544809525,3
"1-2-3-4","3",4.31650670054096,0
"5","3",5,3
"6","3",5.46643851734249,0
"7","3",5.92801303283712,0
"8-9","3",5.81385692179495,0
"1-2-3-4","5",4.45470890522877,0
"5","5",5.16008570619211,0
"6","5",5.64145825142339,0
"7","5",6.11781106337267,0
"8-9","5",6.00000000000004,2
