"Burst_Month","Nb_Inflorescences","probability","number"
"12","1",0.344073280534342,16
"1","1",0.222729455437627,30
"2","1",0.250758359618336,83
"3","1",0.400000000000001,10
"4","1",0.266666666666676,15
"12","2",0.370975327068643,1
"1","2",0.240143996216374,7
"2","2",0.270364395428037,22
"3","2",0.431274787152926,0
"4","2",0.287516524768627,0
"12","3",0.483642648058887,2
"1","3",0.313077096429219,5
"2","3",0.352475603105164,7
"3","3",0.562255397812694,0
"4","3",0.374836931875141,0
"12","4",0.731666787473215,4
"1","4",0.473630922118179,1
"2","4",0.533233975997996,3
"3","4",0.850594136617578,0
"4","4",0.56706275774507,0
"12","5",0.505358449884726,5
"1","5",0.327134417903148,0
"2","5",0.368301937644097,4
"3","5",0.587500952238909,0
"4","5",0.391667301492618,0
"12","6",1.23436916298351,3
"1","6",0.799045979546432,2
"2","6",0.899600183985545,3
"3","6",1.43500728805975,0
"4","6",0.956671525373194,0
