codeUC;positionUC;PUCM;date;stadeUC;longueur;DFUC;T_ip
1-BM-cog-V-B13-1-A;A;A;02/02/2010 14:00;B2;;D;89.02
1-BM-cog-V-B13-1-A;A;A;03/03/2010 14:00;H;21;;
1-BM-cog-V-B13-1-L;L;A;02/02/2010 14:00;B2;;D;87.41
1-BM-cog-V-B13-1-L;L;A;03/03/2010 14:00;H;15.85;;
1-BM-cog-V-F3-1-L;L;A;03/02/2010 10:00;B2;;D;74.28
1-BM-cog-V-F3-1-L;L;A;04/03/2010 10:00;H;11;;
1-BM-cog-V-F3-2-A;A;L;03/02/2010 10:00;B2;;D;72.80
1-BM-cog-V-F3-2-A;A;L;04/03/2010 10:00;H;13.6;;
1-BM-cog-V-F4-1-A;A;L;03/02/2010 10:00;B2;;D;84.65
1-BM-cog-V-F4-1-A;A;L;04/03/2010 10:00;H;18.9;;
1-BM-cog-V-F4-2-L;L;A;03/02/2010 10:00;B2;;D;75.46
1-BM-cog-V-F4-2-L;L;A;04/03/2010 10:00;H;11.9;;
1-BM-cog-V-F5-1-A;A;L;03/02/2010 10:00;B2;;D;90.16
1-BM-cog-V-F5-1-A;A;L;04/03/2010 10:00;H;20.8;;
1-BM-cog-V-F5-2-L;L;L;03/02/2010 10:00;B2;;D;73.36
1-BM-cog-V-F5-2-L;L;L;04/03/2010 10:00;H;9.5;;
1-BM-cog-V-F7-1-A;A;A;03/02/2010 10:00;B2;;D;86.33
1-BM-cog-V-F7-1-A;A;A;04/03/2010 10:00;H;19;;
1-BM-cog-V-F7-1-L;L;A;03/02/2010 10:00;B2;;D;82.42
1-BM-cog-V-F7-1-L;L;A;04/03/2010 10:00;H;14.9;;
2-BM-cog-V-B8-1-A;A;L;30/03/2010 11:15;B1/B2;;D;74.21
2-BM-cog-V-B8-1-A;A;L;06/05/2010 11:00;H;5.5;;
2-BM-cog-V-B8-2-L;L;L;31/03/2010 10:40;C;;D;72.05
2-BM-cog-V-B8-2-L;L;L;06/05/2010 11:00;H;7;;
2-BM-cog-V-B8-3-A;A;L;25/03/2010 14:00;B2;;D;83.22
2-BM-cog-V-B8-3-A;A;L;06/05/2010 11:00;H;14.15;;
2-BM-cog-V-F2-1-A;A;L;30/03/2010 10:40;B2;;D;79.51
2-BM-cog-V-F2-1-A;A;L;06/05/2010 11:20;H;11;;
2-BM-cog-V-F6-1-A;A;A;30/03/2010 10:40;B2;;D;84.98
2-BM-cog-V-F6-1-A;A;A;06/05/2010 11:20;H;22.35;;
2-BM-cog-V-F6-1-L;L;A;30/03/2010 10:40;B2;;D;90.64
2-BM-cog-V-F6-1-L;L;A;06/05/2010 11:30;H;17.8;;
2-BM-cog-V-F6-2-A;A;A;31/03/2010 11:00;B2;;D;92.78
2-BM-cog-V-F6-2-A;A;A;06/05/2010 11:40;H;16.6;;
2-BM-cog-V-F6-2-L;L;A;30/03/2010 10:50;B2;;D;88.68
2-BM-cog-V-F6-2-L;L;A;06/05/2010 11:30;H;10.2;;
2-BM-cog-V-F6-3-A;A;L;31/03/2010 11:00;B2;;D;81.27
2-BM-cog-V-F6-3-A;A;L;07/05/2010 11:40;H;15.5;;
4-BM-cog-V-B11-1-A;A;L;22/09/2010 11:20;B2;;D;90.61
4-BM-cog-V-B11-1-A;A;L;08/11/2010 10:00;H;13.5;;
4-BM-cog-V-F1-1-A;A;L;24/09/2010 14:15;B2;;D;88.05
4-BM-cog-V-F1-1-A;A;L;08/11/2010 10:00;H;18.25;;
4-BM-cog-V-F1-2-A;A;L;24/09/2010 14:15;B2/C;;D;81.73
4-BM-cog-V-F1-2-A;A;L;08/11/2010 10:00;H;17.5;;
4-BM-cog-V-F3-1-A;A;L;24/09/2010 14:15;B2;;D;94.01
4-BM-cog-V-F3-1-A;A;L;08/11/2010 10:00;H;19.8;;
4-BM-cog-V-F6-1-A;A;A;24/09/2010 14:15;B2;;D;93.88
4-BM-cog-V-F6-1-A;A;A;08/11/2010 10:00;H;21.9;;
4-BM-cog-V-F6-1-L;L;A;24/09/2010 14:15;B2;;D;98.23
4-BM-cog-V-F6-1-L;L;A;08/11/2010 10:00;H;17.9;;
4-BM-cog-V-F6-2-A;A;L;24/09/2010 14:15;B2/C;;D;88.57
4-BM-cog-V-F6-2-A;A;L;08/11/2010 10:00;H;14.9;;
