codeUC;verger;arbre;positionUC1;positionUC;PUCM;PUCGM;longueurAxeSec;longueurInflo
3-BM-cog-F-B10-1-L;BM;B10;L;L;A;L;18,3;29,7
3-BM-cog-F-B11-1-A;BM;B11;A;A;A;L;12,1;18,6
3-BM-cog-F-B14-1-L;BM;B14;L;L;A;A;11,4;16,5
3-BM-cog-F-B14-2-A;BM;B14;A;A;A;A;27,8;44,45
3-BM-cog-F-B8-1-A;BM;B8;A;A;A;A;20,7;31,9
3-BM-cog-F-B9-1-A;BM;B9;A;A;A;A;18,7;24,1
3-BM-cog-F-B9-2-L;BM;B9;L;L;A;A;13,25;23,4
3-BM-cog-F-F3-1-A;BM;F3;A;A;A;A;14,4;30
3-BM-cog-F-F4-1-A;BM;F4;A;A;A;L;11,2;27
3-BM-cog-F-F7-1-A;BM;F7;A;A;A;A;19,2;30,5
3-BP-cog-F-A10-1-A;BP;A10;A;A;A;L;13,5;24
3-BP-cog-F-A3-1-A;BP;A3;A;A;A;L;12,5;16,6
3-BP-cog-F-A8-1-A;BP;A8;A;A;L;A;17;23,1
3-BP-cog-F-B11-1-L;BP;B11;L;L;A;L;8,5;18,9
3-BP-cog-F-D2-1-L;BP;D2;L;L;A;A;13;27,8
3-BP-cog-F-D3-1-L;BP;D3;L;L;A;L;10,55;22,85
3-BP-cog-F-E3-1-L;BP;E3;L;L;A;A;15,1;21,1
3-BP-cog-F-E6-1-L;BP;E6;L;L;A;L;12;18,6
3-BP-cog-F-F10-1-A;BP;F10;A;A;L;A;17;34,5
3-BP-cog-F-F10-2-A;BP;F10;A;A;L;A;14,4;25,5
3-BP-cog-F-F11-1-A;BP;F11;A;A;L;A;10,5;24,5
3-BP-cog-F-F3-1-A;BP;F3;A;A;L;A;20,5;35,9
3-BP-cog-F-F4-1-A;BP;F4;A;A;L;L;17,1;23,5
3-BP-cog-F-G2-1-A;BP;G2;A;A;A;A;23,3;28,1
3-GF-cog-F-A2-1-A;GF;A2;A;A;A;L;12,5;25,5
3-GF-cog-F-A37-1-A;GF;A37;A;A;A;A;6;18,45
3-GF-cog-F-A37-1-L;GF;A37;L;L;A;A;4,5;16
3-GF-cog-F-B19-1-A;GF;B19;A;A;A;L;8,8;23,6
3-GF-cog-F-B19-1-L;GF;B19;L;L;A;L;4,7;18,5
3-GF-cog-F-B21-1-A;GF;B21;A;A;A;A;9;22,9
3-GF-cog-F-B22-1-A;GF;B22;A;A;L;L;5,4;17,6
3-GF-cog-F-B25-1-L1;GF;B25;L1;L;A;L;11;28,7
3-GF-cog-F-B25-1-L2;GF;B25;L2;L;A;L;11,3;28
3-GF-cog-F-B28-1-A;GF;B28;A;A;A;A;10;18,1
3-GF-cog-F-B7-1-A;GF;B7;A;A;A;L;7,5;20,9
3-GF-cog-F-B7-1-L;GF;B7;L;L;A;L;5,7;18,3
3-GF-cog-F-B8-1-L1;GF;B8;L1;L;A;L;7,5;20,7
3-GF-cog-F-B8-1-L2;GF;B8;L2;L;A;L;7;17,9
3-GF-cog-F-C28-1-L;GF;C28;L;L;A;L;7,9;22
3-GF-cog-F-E5-1-L1;GF;E5;L1;L;A;A;5;11,7
3-GF-cog-F-E5-1-L2;GF;E5;L2;L;A;A;3,1;9,5
3-GF-cog-F-E5-2-L;GF;E5;L;L;A;A;3,5;13,2
